DATA COMPETÊNCIA,DATA CAIXA,DESCRIÇÃO,VALOR,CONTA,POTE,CATEGORIA,SUBCATEGORIA,OBSERVAÇÃO,PARCELAS,N PARCELA,NATUREZA,AUTOMÁTICO
2025-01-07,2025-01-07,Gasto c Credito,-27727.64,Bradesco,Empréstimos,Encontro de contas Cartão,Bradesco,,1,1,VARIÁVEL,NÃO
2025-02-05,2025-01-05,Gasto c Credito,-23164.11,Bradesco,Empréstimos,Encontro de contas Cartão,Bradesco,,1,1,VARIÁVEL,NÃO
2025-03-05,2025-03-05,Gasto c Credito,-18381.77,Bradesco,Empréstimos,Encontro de contas Cartão,Bradesco,,1,1,VARIÁVEL,NÃO
2025-02-05,2025-02-05,PIX QRS WISE BRASIL05/02,-14132.51,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-02-17,2025-02-17,PERS BLACK 3601-4817,-11209.34,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-01-16,2025-01-16,INT PERS BLACK,-11026.65,ITAÚ,Empréstimos,Encontro de contas Cartão,,,1,1,VARIÁVEL,NÃO
2025-02-07,2025-02-07,PIX TRANSF GUSTAVO07/02,-8062.0,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-02-28,2025-02-28,PIX TRANSF JOSE MI28/02,-7000.0,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-01-20,2025-01-20,PIX QRS WISE BRASIL20/01,-6377.59,ITAÚ,Descobrir,Descobrir,Descobrir,1,1,1,VARIÁVEL,NÃO
2025-02-07,2025-02-07,PIX TRANSF JOSE MI07/02,-5331.92,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-02-12,2025-02-12,SAQUE DIN AG 6530RECIBO,-5000.0,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-01-07,2025-01-07,PIX TRANSF RAFAEL 07/01,-4500.0,ITAÚ,Transferência entre contas,Transferência entre contas,,,1,1,VARIÁVEL,NÃO
2025-01-06,2025-02-05,Booking.com Hotel,-3507.0,CC Bradesco,Despesas Básicas,Férias,Hospedagem,1,1,1,VARIÁVEL,SIM
2025-02-17,2025-02-17,PIX TRANSF JAILSON15/02,-3500.0,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-02-24,2025-02-24,PIX TRANSF Arnobio24/02,-3200.0,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
2025-01-20,2025-01-20,PIX QRS WISE BRASIL20/01,-3193.37,ITAÚ,Descobrir,Descobrir,Descobrir,Teste,1,1,VARIÁVEL,NÃO
